institution,betweenness_centrality
Centre National de la Recherche Scientifique,0.05971496651935888
National University of Singapore,0.029478781765211286
University College London,0.028395298472322205
The University of Tokyo,0.02637341389888416
University of Western Australia,0.026213437512813673
University of Queensland,0.025013688298881384
University of Michigan–Ann Arbor,0.023746661815671807
Duke University,0.02333228382769488
University of Melbourne,0.020260638571095932
Harvard University,0.019208920878760298
Vellore Institute of Technology University,0.019010002132886197
The University of Texas Rio Grande Valley,0.018897956790094365
Sejong University,0.018256570349311625
UNSW Sydney,0.017961521468196802
Inserm,0.017199120319982993
University of Nottingham,0.01687718366123772
University of Cambridge,0.016328674876139794
Goethe University Frankfurt,0.014777239377164485
"University of California, San Diego",0.014506334340120936
University of Helsinki,0.013942824804391657
Christ University,0.013847430385021892
Universitat de Barcelona,0.013841538707932423
Heidelberg University,0.013098495377752989
University of Tübingen,0.013066637947844826
University of Indonesia,0.012749825776515183
Imperial College London,0.012700018387844552
Chinese Academy of Sciences,0.012416331807741371
Manipal Academy of Higher Education,0.012355804915009804
University of Oxford,0.011941235543415316
University of Johannesburg,0.01192646485023989
Hong Kong Baptist University,0.011558290148747201
King Khalid University,0.011472358193463074
Yale University,0.01146534840555632
Monash University,0.011181765551196692
University of Southern Denmark,0.010929250164611671
University of Lisbon,0.010905419464168235
University of Turin,0.010898777254681738
Newcastle University,0.010548983072463408
Erasmus MC,0.01049284250574812
Thapar Institute of Engineering & Technology,0.010411258368629593
Umm al-Qura University,0.010398646305190915
University of Tartu,0.010145701278867927
Tehran University of Medical Sciences,0.010117564364107877
King Saud University,0.01001699892834607
Universiti Tunku Abdul Rahman,0.009464881937693525
China Medical University,0.009248846521698004
Universidade de São Paulo,0.008713012336373012
University of Padua,0.00866739174420231
Tel Aviv University,0.008560089691402779
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",0.008245031603164582
Norwegian University of Science and Technology,0.008131077269746883
Amity University,0.008105036042732449
University of Sydney,0.007781757741595991
University of Pennsylvania,0.0077700670245032
Johannes Gutenberg University Mainz,0.007695767252582642
Queen Elizabeth Hospital,0.00761973858558081
University of Edinburgh,0.00759452511581735
Curtin University,0.007520175059350962
University of Washington,0.007476580332717877
Ben-Gurion University of the Negev,0.00732469901815699
Technical University of Denmark,0.007250233376581514
Sri Ramachandra Institute of Higher Education and Research,0.007064502583083005
University of Portsmouth,0.007051666690724325
University of Tehran,0.006989260758479321
All India Institute of Medical Sciences,0.006930352113348342
National Taiwan University Hospital,0.0069267129669361915
Stanford University,0.006741187880844772
King's College London,0.006734649860037562
University of Turku,0.0067330039133970225
University of Miami,0.006658105150053845
Université de Montpellier,0.0066080430978984715
Kyoto University,0.006567786083062751
University of Pittsburgh,0.006452150540804754
Delft University of Technology,0.006408470907212785
University of Warwick,0.006384051339834564
University of Ottawa,0.006344188859677684
University of Electronic Science and Technology of China,0.006189897173198418
Durham University,0.006020385255240076
Central Pollution Control Board,0.0057910391289268184
University of Cyprus,0.005765364397111426
Massachusetts General Hospital,0.005716150184505611
The Ohio State University,0.005678414942513331
King Abdulaziz University,0.005635209076305687
Memorial Sloan Kettering Cancer Center,0.005587153732279406
Universidade do Porto,0.005536990821543731
Saveetha University,0.005472212902427225
LMU Klinikum,0.00547095896366158
COMSATS University Islamabad,0.005376505242274128
Institute of Genomics and Integrative Biology,0.005354850864923477
Chinese University of Hong Kong,0.005241721117398299
Western University,0.005195200338701803
Ghent University,0.005194836700486935
Emory University,0.005108619510957662
University of Amsterdam,0.005063760643121545
Utrecht University,0.005059528531222859
University of British Columbia,0.004987580130666807
University of Buenos Aires,0.004896364503996241
Indian Council of Agricultural Research,0.004849996117624556
University of Virginia,0.004848916333739312
Karolinska Institutet,0.004831867435973571
Consejo Nacional de Investigaciones Científicas y Técnicas,0.004752474362488324
Nanyang Technological University,0.0047181240450747
University of Bristol,0.004675426279235829
Johns Hopkins University,0.004648810896382804
Aarhus University,0.004531845068539953
Ludwig-Maximilians-Universität München,0.004504631454374598
Charles University,0.0044988345371712
National Cancer Institute,0.004361261659639769
Indian Institute of Science Bangalore,0.004337438070341085
University of Geneva,0.004243582649985081
Friedrich-Alexander-Universität Erlangen-Nürnberg,0.0042043771519713075
Boston Children's Hospital,0.004195426426288143
SRM University,0.00416651647258594
University of Tarapacá,0.004163383591470024
Chandigarh University,0.00404656038890839
University of Calgary,0.004016997834891148
Rudjer Boskovic Institute,0.003991819138386137
Universitat Autònoma de Barcelona,0.0039588435361314666
Indiana University,0.003922040057707218
University of Nairobi,0.0039023319575479127
University of Colorado Denver,0.0038502039412480643
Kyushu University,0.0038123379963862078
Northeastern University,0.003791636349336364
UCSI University,0.003761667945665891
Universidad de Granada,0.0037469933236723408
Washington University in St. Louis,0.0036328987542175025
Czech University of Life Sciences Prague,0.0036088220972672084
Simon Fraser University,0.0035311960029553516
University of Southern California,0.0035050831705737842
University of North Carolina at Chapel Hill,0.0034805009771278713
Nanjing Medical University,0.003479624905565495
University of Petroleum and Energy Studies,0.0034719341587880685
University of Freiburg,0.003390143910968398
Swansea University,0.003389557386646948
Purdue University West Lafayette,0.003388874040628777
BGC Trust University Bangladesh,0.003315027587744119
Addis Ababa University,0.0032541327173020366
Chiang Mai University,0.003248310333817071
Radboud University Medical Center,0.003238433833291757
Radboud University Nijmegen,0.003238433833291757
University of Toronto,0.003234847440061113
Hebrew University of Jerusalem,0.0032274719957966
Turku University Hospital,0.003184299453636365
Cancer Institute (WIA),0.0031406447757607162
University of Copenhagen,0.003128884902286393
"University of Maryland, College Park",0.0030448517328020516
University of Chicago,0.002988262039729521
École de management de Normandie,0.002961897421911942
Indian Institute of Technology Kharagpur,0.002948156018485801
University of Ghana,0.0029369667279896647
Roswell Park Comprehensive Cancer Center,0.0029355935841117683
Zayed University,0.002931848892559288
Massachusetts Institute of Technology,0.0028320849432839257
Novo Nordisk Foundation,0.0027607535504998427
Taif University,0.0026933418401699823
University of Vienna,0.0026550199340932418
Texas A&M University,0.002646845608546948
Odense University Hospital,0.002641561649984218
Institut de Recherche pour le Développement,0.0026313657726734926
Duke-NUS Medical School,0.0026201257211737336
"University of California, Berkeley",0.0025642373856954166
Robert Morris University Illinois,0.0025581873518975983
Boston University,0.0025461344964872305
Deakin University,0.0025429823901518024
Barcelona Institute for Global Health,0.0025210590564179935
Daffodil International University,0.002493950830310156
University of Dhaka,0.002493950830310156
Vrije Universiteit Amsterdam,0.0024765182198037473
Brazilian Agricultural Research Corporation,0.0024086893565232618
Baylor College of Medicine,0.0023764281660891328
Hospices Civils de Lyon,0.0023748820771192706
University of Ljubljana,0.002374707717671529
Queen Mary University of London,0.0023592639623120056
Indian Institute of Management Ahmedabad,0.00234257086076772
Cornell University,0.00233504596832485
Universitat Politècnica de València,0.002320825008009049
Indian Institute of Technology Delhi,0.002320780282119986
Indian Statistical Institute,0.0023206196727169537
KU Leuven,0.002314768421343565
The University of Texas at Austin,0.002298630579808003
Beth Israel Deaconess Medical Center,0.002258602953945959
