institution,weighted_degree_centrality
University of Pennsylvania,1053
University of Michigan–Ann Arbor,1009
"University of California, San Diego",911
Massachusetts General Hospital,755
Memorial Sloan Kettering Cancer Center,748
University College London,726
Harvard University,714
Centre National de la Recherche Scientifique,636
The University of Texas MD Anderson Cancer Center,595
University of Cambridge,572
The University of Texas Southwestern Medical Center,567
Cancer Institute (WIA),564
Fred Hutch Cancer Center,561
University of Colorado Denver,559
Moffitt Cancer Center,543
University of Oxford,542
Inserm,522
Fox Chase Cancer Center,489
University of Washington,482
Imperial College London,475
UCSF Helen Diller Family Comprehensive Cancer Center,460
University of Tennessee Health Science Center,457
Cleveland Clinic,442
University of Utah,441
University of Helsinki,429
"University of California, Davis",428
Robert H. Lurie Comprehensive Cancer Center of Northwestern University,427
Stanford Cancer Institute,427
City Of Hope National Medical Center,427
Sidney Kimmel Comprehensive Cancer Center,427
Moores Cancer Center,427
Duke Cancer Institute,427
University of Colorado Cancer Center,427
National Comprehensive Cancer Network,427
University Hospitals Seidman Cancer Center,427
The Ohio State University Comprehensive Cancer Center – Arthur G. James Cancer Hospital and Richard J. Solove Research Institute,427
Fred and Pamela Buffett Cancer Center,427
University of Wisconsin Carbone Cancer Center,427
O'Neal Comprehensive Cancer Center,427
Yale University,399
Erasmus MC,396
Vanderbilt-Ingram Cancer Center,390
Breast Cancer Research Foundation,390
UCLA Jonsson Comprehensive Cancer Center,385
UC Davis Comprehensive Cancer Center,385
Harold C. Simmons Comprehensive Cancer Center,385
Jewish Hospital,385
Barnes-Jewish Hospital,385
Dana-Farber Brigham Cancer Center,385
Huntsman Cancer Institute,384
Stanford University,372
University of Virginia,356
National University of Singapore,352
Seattle Cancer Care Alliance,348
Susan Thompson Buffett Foundation,347
Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa,347
Brigham and Women's Hospital,346
The Ohio State University,343
Boston Children's Hospital,335
King's College London,333
University of Copenhagen,332
University of Chicago,326
Kyushu University,321
University of Tartu,317
National Institutes of Health,316
Vanderbilt University Medical Center,312
Monash University,310
Ludwig-Maximilians-Universität München,305
Cancer Research Center,305
Kettering University,302
Washington University in St. Louis,302
University of North Carolina at Chapel Hill,301
Friedrich-Alexander-Universität Erlangen-Nürnberg,296
Radboud University Nijmegen,295
Radboud University Medical Center,295
Tel Aviv University,291
University of Southern Denmark,287
University of Alabama at Birmingham,283
University of Toronto,281
University of Minnesota,280
National Taiwan University Hospital,274
Helmholtz Zentrum München,273
Broad Institute,273
University of Tübingen,269
Duke University,268
University of Queensland,267
University of Edinburgh,265
University of Turku,264
Nagoya University,262
Johns Hopkins University,258
St. Jude Children's Research Hospital,258
Universitat de Barcelona,254
Smilow Cancer Hospital,254
Heidelberg University,253
Novo Nordisk Foundation,252
Baylor College of Medicine,248
UNSW Sydney,246
University of Melbourne,245
Amsterdam University Medical Centers,243
Boston University,243
Emory University,241
Technical University of Denmark,240
Université de Bordeaux,239
Icahn School of Medicine at Mount Sinai,237
University of Pittsburgh,237
University of Amsterdam,236
University of Nottingham,235
The University of Tokyo,234
National Human Genome Research Institute,232
Humboldt-Universität zu Berlin,231
Tohoku University,231
VA Boston Healthcare System,225
University of Gothenburg,225
Vrije Universiteit Amsterdam,223
Osaka University,219
University of Western Australia,218
Chinese University of Hong Kong,217
Children's Hospital of Los Angeles,217
Universitat Autònoma de Barcelona,215
Cornell University,213
Rigshospitalet,212
Robert Bosch Hospital,211
University of Warwick,210
Universidade de São Paulo,203
Singapore Eye Research Institute,201
Singapore National Eye Center,201
University of Sydney,200
National University Health System,198
Kyoto University,196
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,193
Copenhagen University Hospital,192
Heinrich Heine University Düsseldorf,192
Odense University Hospital,190
University of Massachusetts Amherst,189
Centre for Cellular and Molecular Biology,189
RIKEN Center for Integrative Medical Sciences,189
Wake Forest University,189
Institute for Molecular Medicine Finland,189
Harbor–UCLA Medical Center,189
National Taiwan University,189
"Institute of Biomedical Sciences, Academia Sinica",189
Centre for Human Genetics,189
Gentofte Hospital,186
University of Liverpool,186
Jackson Memorial Hospital,186
KU Leuven,183
"Agency for Science, Technology and Research",181
Children's Hospital of Philadelphia,181
Turku University Hospital,180
Tata Memorial Hospital,180
Chinese Academy of Sciences,179
"University of California, Los Angeles",178
University of Padua,178
Goethe University Frankfurt,177
Aarhus University,176
Northwestern University,175
Université de Montpellier,174
Fudan University,174
"University of Maryland, College Park",174
"University of California, San Francisco",174
Fermi National Accelerator Laboratory,173
University of Geneva,172
Institut Pasteur de Lille,171
Consejo Nacional de Investigaciones Científicas y Técnicas,171
National Institute on Aging,171
Université de Lille,171
McMaster University,171
Duke-NUS Medical School,168
University of Trieste,167
Trinity College Dublin,166
University of Calgary,165
University of Sussex,163
Ollscoil na Gaillimhe – University of Galway,163
University College Dublin,163
Seoul National University Bundang Hospital,163
Charité - Universitätsmedizin Berlin,163
Universidad Autónoma de Madrid,163
Lawrence Berkeley National Laboratory,163
University of Illinois Urbana-Champaign,163
University of Wisconsin–Madison,163
Leiden University Medical Center,163
Argonne National Laboratory,163
ETH Zurich,162
Universität Ulm,162
Université Paris-Saclay,161
University of Würzburg,160
University of Ljubljana,160
University of Manchester,160
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,160
Columbia University Irving Medical Center,160
"University of California, Berkeley",160
University of Ottawa,160
The University of Texas Rio Grande Valley,159
University of Groningen,159
University of Milan,158
Rush University Medical Center,157
University of Delaware,156
Weill Cornell Medicine,155
Mayo Clinic in Arizona,155
National Cancer Institute,153
McGill University,152
Johannes Gutenberg University Mainz,152
Institute for High Energy Physics,151
University of British Columbia,149
Hebrew University of Jerusalem,148
Beth Israel Deaconess Medical Center,147
