rank,institution,weighted_degree_centrality
1,University of Pennsylvania,1053
2,University of Michigan–Ann Arbor,1009
3,"University of California, San Diego",911
4,Massachusetts General Hospital,755
5,Memorial Sloan Kettering Cancer Center,749
6,University College London,727
7,Harvard University,714
8,Centre National de la Recherche Scientifique,637
9,The University of Texas MD Anderson Cancer Center,595
10,University of Cambridge,573
11,The University of Texas Southwestern Medical Center,567
12,Cancer Institute (WIA),564
13,Fred Hutch Cancer Center,561
14,University of Colorado Denver,559
15,Moffitt Cancer Center,543
16,University of Oxford,542
17,Inserm,523
18,Fox Chase Cancer Center,489
19,University of Washington,482
20,Imperial College London,475
